City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Olinda,BR,-8.0089,-34.8553,82.13,74,40,6.91,scattered clouds
70,Dalbandin,PK,28.8947,64.4101,38.66,41,0,5.12,clear sky
71,Puerto Ayora,EC,-0.7393,-90.3518,82.36,92,68,7.0,broken clouds
72,Port Alfred,ZA,-33.5906,26.891,70.18,96,100,5.91,overcast clouds
73,Baraboo,US,43.4711,-89.7443,26.01,92,100,4.61,overcast clouds
74,Cap-Aux-Meules,CA,47.3821,-61.8597,29.77,69,35,20.74,scattered clouds
75,Taoudenni,ML,22.6783,-3.9836,65.05,14,0,9.93,clear sky
76,Qaanaaq,GL,77.484,-69.3632,-26.45,79,100,7.49,overcast clouds
77,East London,ZA,-33.0153,27.9116,72.32,88,100,5.06,light rain
78,Valverde Del Camino,ES,37.5751,-6.7543,45.03,55,0,6.96,clear sky
79,Carnarvon,AU,-24.8667,113.6333,74.61,77,17,21.54,few clouds
80,Serov,RU,59.6033,60.5787,16.95,86,8,6.2,clear sky
81,Alofi,NU,-19.0595,-169.9187,80.19,78,83,10.56,broken clouds
82,Sorland,NO,67.667,12.6934,40.86,96,100,47.89,light rain
83,Nanakuli,US,21.3906,-158.1547,82.35,52,0,9.22,clear sky
84,Kathmandu,NP,27.7167,85.3167,44.82,65,20,3.44,few clouds
85,Dicabisagan,PH,17.0818,122.4157,74.5,85,100,3.11,overcast clouds
86,Liverpool,GB,53.4106,-2.9779,40.51,89,40,4.61,scattered clouds
87,Moron,AR,-34.6534,-58.6198,92.97,33,2,7.09,clear sky
88,Vestmannaeyjar,IS,63.4427,-20.2734,37.26,55,97,29.46,overcast clouds
89,Broome,US,42.2506,-75.833,36.86,78,100,10.36,overcast clouds
90,Ribeira Grande,PT,38.5167,-28.7,61.77,82,40,14.97,scattered clouds
91,Geraldton,AU,-28.7667,114.6,70.21,78,100,13.8,overcast clouds
92,Igrim,RU,63.1906,64.4162,8.62,93,84,5.19,broken clouds
93,Guaraniacu,BR,-25.1008,-52.8781,71.11,92,92,2.64,overcast clouds
94,Hobart,AU,-42.8794,147.3294,60.26,89,40,6.91,scattered clouds
95,Khatanga,RU,71.9667,102.5,-40.72,93,28,3.38,scattered clouds
96,Canton,CN,23.1167,113.25,68.88,70,100,3.71,overcast clouds
97,Bamako,ML,12.65,-8.0,83.79,13,43,0.98,scattered clouds
98,Port Lincoln,AU,-34.7333,135.8667,62.76,81,98,12.8,overcast clouds
99,Tasiilaq,GL,65.6145,-37.6368,12.36,57,72,7.31,broken clouds
100,Cape Town,ZA,-33.9258,18.4232,69.35,70,0,10.0,clear sky
101,Chapais,CA,49.7834,-74.8492,22.78,94,100,6.22,overcast clouds
102,Tarabha,IN,20.7333,83.65,61.21,52,59,2.55,broken clouds
103,Wokha,IN,26.1,94.2667,37.76,67,94,4.05,overcast clouds
104,Gombong,ID,-7.6072,109.5142,75.52,91,94,3.74,overcast clouds
105,Saint-Augustin,CA,51.226,-58.6502,15.46,87,44,4.09,scattered clouds
106,Aviles,ES,43.5547,-5.9248,42.93,84,0,4.61,clear sky
107,Leningradskiy,RU,69.3833,178.4167,-33.59,89,40,4.7,scattered clouds
108,Ponca City,US,36.707,-97.0856,39.94,72,100,4.61,overcast clouds
109,Saldanha,ZA,-33.0117,17.9442,64.53,87,0,16.87,clear sky
110,Parnu-Jaagupi,EE,58.6105,24.5069,22.8,98,79,2.55,broken clouds
111,Bredasdorp,ZA,-34.5322,20.0403,67.12,77,16,6.85,few clouds
112,Ust-Tsilma,RU,65.441,52.1498,21.94,95,100,6.26,overcast clouds
113,Henties Bay,NA,-22.116,14.2845,66.24,84,82,8.5,broken clouds
114,Boralday,KZ,43.3578,76.8594,1.26,78,40,0.0,fog
115,Kemijarvi,FI,66.7131,27.4306,20.16,93,63,11.79,broken clouds
116,Kloulklubed,PW,7.0419,134.2556,80.83,83,100,22.97,overcast clouds
117,Shar,KZ,49.5886,81.0453,-3.78,73,31,19.46,scattered clouds
118,Iquitos,PE,-3.7481,-73.2472,78.84,89,40,5.75,scattered clouds
119,Broken Hill,AU,-31.95,141.4333,71.65,46,0,8.75,clear sky
120,Asuncion Nochixtlan,MX,17.4667,-97.2333,73.47,26,3,5.55,clear sky
121,Lebu,CL,-37.6167,-73.65,64.35,77,2,12.86,clear sky
122,Mount Isa,AU,-20.7333,139.5,81.32,18,78,7.81,broken clouds
123,Knysna,ZA,-34.0363,23.0471,68.59,94,29,4.45,scattered clouds
124,Buala,SB,-8.145,159.5921,82.65,74,100,5.17,overcast clouds
125,Bowen,AU,-20.0167,148.2333,77.47,78,46,8.99,scattered clouds
126,La Tuque,CA,47.4334,-72.7824,28.89,97,100,5.88,light snow
127,Tautira,PF,-17.7333,-149.15,77.56,75,100,8.01,moderate rain
128,Pringsewu,ID,-5.3582,104.9744,72.45,97,100,0.38,light rain
129,Okara,PK,30.8081,73.4458,51.53,44,72,8.21,broken clouds
130,Berlevag,NO,70.8578,29.0864,39.2,75,0,25.32,clear sky
131,Jalu,LY,29.0331,21.5482,55.76,39,0,9.1,clear sky
132,Cherskiy,RU,68.75,161.3,-30.35,92,100,3.27,overcast clouds
133,Esperance,AU,-33.8667,121.9,60.76,76,9,9.73,clear sky
134,Mount Gambier,AU,-37.8333,140.7667,62.02,80,100,5.86,overcast clouds
135,Port Macquarie,AU,-31.4333,152.9167,65.89,92,70,3.62,broken clouds
136,Hofn,IS,64.2539,-15.2082,36.07,53,6,30.56,clear sky
137,Deputatskiy,RU,69.3,139.9,-38.31,99,71,4.14,broken clouds
138,Albany,US,42.6001,-73.9662,35.46,74,100,7.78,overcast clouds
139,Amga,RU,60.8953,131.9608,-49.88,100,100,1.77,overcast clouds
140,Ponta Do Sol,PT,32.6667,-17.1,63.01,59,55,8.08,broken clouds
141,Port-Gentil,GA,-0.7193,8.7815,80.56,89,20,4.61,light rain
142,Payson,US,40.0444,-111.7321,26.29,85,100,0.0,mist
143,Archidona,ES,37.0965,-4.3887,42.4,46,0,5.5,clear sky
144,Domoni,KM,-12.2569,44.5319,78.93,86,100,13.82,light rain
145,Kasongo-Lunda,CD,-6.4667,16.8167,69.78,94,100,1.05,overcast clouds
146,Birao,CF,10.2849,22.7882,75.33,17,43,7.05,scattered clouds
147,Sao Francisco Do Sul,BR,-26.2433,-48.6381,74.86,93,92,4.59,heavy intensity rain
148,Klaksvik,FO,62.2266,-6.589,43.72,71,100,25.37,overcast clouds
149,Vitim,RU,59.4511,112.5578,-32.75,94,100,7.94,overcast clouds
150,Dunedin,NZ,-45.8742,170.5036,59.81,50,17,8.01,few clouds
151,Krasnyy Yar,RU,46.5331,48.3456,22.93,73,2,12.88,clear sky
152,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,91,37,8.72,scattered clouds
153,Codajas,BR,-3.8367,-62.0569,82.49,77,32,3.15,scattered clouds
154,Kudahuvadhoo,MV,2.6708,72.8944,78.49,82,59,12.8,broken clouds
155,Bilma,NE,18.6853,12.9164,68.72,13,48,4.99,scattered clouds
156,Camacha,PT,33.0833,-16.3333,58.42,77,75,14.97,broken clouds
157,Namatanai,PG,-3.6667,152.4333,79.39,81,98,7.38,light rain
158,Rongcheng,CN,30.634,117.8517,42.49,90,100,4.32,overcast clouds
159,Lodja,CD,-3.4833,23.4333,68.74,94,31,1.99,scattered clouds
160,Xicotencatl,MX,23.0167,-98.8833,80.56,32,35,11.65,scattered clouds
161,Itarema,BR,-2.9248,-39.9167,79.83,78,28,12.59,scattered clouds
162,Praia,CV,14.9215,-23.5087,70.12,65,15,14.72,few clouds
163,Sola,VU,-13.8833,167.55,79.25,81,99,8.84,overcast clouds
164,Kokopo,PG,-4.352,152.2633,78.15,81,100,4.07,overcast clouds
165,Yeppoon,AU,-23.1333,150.7333,73.18,74,21,9.57,few clouds
166,Kodiak,US,57.79,-152.4072,36.91,93,100,20.71,moderate rain
167,Narsaq,GL,60.9167,-46.05,3.42,67,0,7.63,clear sky
168,Chokurdakh,RU,70.6333,147.9167,-43.69,99,61,5.99,broken clouds
169,Tilichiki,RU,60.4667,166.1,14.76,72,100,35.48,overcast clouds
170,Enumclaw,US,47.2043,-121.9915,42.71,89,97,1.99,overcast clouds
171,Brindisi,IT,40.5833,17.6667,50.36,92,100,25.17,moderate rain
172,Severo-Kurilsk,RU,50.6789,156.125,12.43,72,38,5.17,scattered clouds
173,Atherton,GB,53.5237,-2.4935,40.28,82,100,1.99,overcast clouds
174,Touros,BR,-5.1989,-35.4608,80.2,76,14,10.71,few clouds
175,Provideniya,RU,64.3833,-173.3,-5.69,65,0,17.9,clear sky
176,Araouane,ML,18.9048,-3.5265,70.21,12,1,10.69,clear sky
177,La Romana,DO,18.4273,-68.9728,84.56,54,40,8.05,scattered clouds
178,Hirapur,IN,21.5333,79.7667,63.55,50,13,3.15,few clouds
179,Tromso,NO,69.6496,18.957,42.82,56,0,25.32,clear sky
180,Fortuna,US,40.5982,-124.1573,52.36,61,14,8.99,few clouds
181,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,89,89,9.17,overcast clouds
182,Okakarara,NA,-20.5833,17.4333,76.37,49,100,4.7,light rain
183,Kirakira,SB,-10.4544,161.9205,81.39,79,100,2.66,overcast clouds
184,Atar,MR,20.5169,-13.0499,68.97,17,0,11.65,clear sky
185,Badvel,IN,14.75,79.05,65.82,92,33,2.1,scattered clouds
186,Umba,RU,66.6871,34.3429,25.14,81,77,14.27,broken clouds
187,Conceicao Do Araguaia,BR,-8.2578,-49.2647,77.77,88,100,3.94,overcast clouds
188,Montepuez,MZ,-13.1256,38.9997,67.91,98,100,8.61,light rain
189,Khandyga,RU,62.6667,135.6,-60.34,100,100,1.7,overcast clouds
190,Tanout,NE,14.9709,8.8879,71.6,10,100,9.86,overcast clouds
191,Biak,ID,-0.9131,122.8766,75.97,81,100,3.67,overcast clouds
192,Santa Maria,BR,-29.6842,-53.8069,98.26,21,26,5.08,scattered clouds
193,Lemon Tree Passage,AU,-32.7327,152.036,66.83,97,100,1.99,light rain
194,Huilong,CN,31.8111,121.655,43.93,93,100,11.86,overcast clouds
195,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,9.22,light snow
196,Saskylakh,RU,71.9167,114.0833,-30.05,88,100,2.28,overcast clouds
197,Boda,CF,4.3189,17.4695,77.23,24,92,3.47,overcast clouds
198,Hithadhoo,MV,-0.6,73.0833,80.85,76,83,9.8,broken clouds
199,Maiduguri,NG,11.8464,13.1603,74.14,18,11,8.88,few clouds
200,Buraydah,SA,26.326,43.975,63.16,46,75,7.52,broken clouds
201,Kolondieba,ML,11.0882,-6.8926,83.8,16,0,0.69,clear sky
202,Gambela,ET,8.25,34.5833,82.74,30,67,1.1,broken clouds
203,Shelburne,CA,44.0787,-80.2041,30.24,95,100,2.46,light snow
204,Thompson,CA,55.7435,-97.8558,17.76,93,100,5.75,light snow
205,Soe,ID,-9.8607,124.284,64.74,87,100,2.01,overcast clouds
206,Sur,OM,22.5667,59.5289,65.48,59,36,11.01,scattered clouds
207,High Level,CA,58.5169,-117.136,15.57,84,9,3.89,clear sky
208,Sovetskiy,RU,61.3614,63.5842,16.61,91,99,7.09,overcast clouds
209,Kazachinskoye,RU,57.6953,93.2761,-19.14,90,100,5.57,overcast clouds
210,Lorengau,PG,-2.0226,147.2712,81.36,79,90,7.54,overcast clouds
211,Prijepolje,RS,43.3719,19.6406,37.17,97,96,2.86,overcast clouds
212,Acapulco,MX,16.8634,-99.8901,85.82,51,0,6.91,clear sky
213,Chuy,UY,-33.6971,-53.4616,77.79,52,39,15.1,scattered clouds
214,Akyab,MM,20.15,92.9,65.12,51,7,8.48,clear sky
215,Ancud,CL,-41.8697,-73.8203,63.41,72,18,8.59,few clouds
216,Topchikha,RU,52.8192,83.1185,8.76,71,100,18.34,light snow
217,Cockburn Town,TC,21.4612,-71.1419,77.5,76,7,21.41,clear sky
218,Porto Empedocle,IT,37.2934,13.5264,45.68,74,98,10.31,overcast clouds
219,Grindavik,IS,63.8424,-22.4338,34.27,55,75,33.38,broken clouds
220,Butaritari,KI,3.0707,172.7902,80.62,74,95,14.47,overcast clouds
221,Norman Wells,CA,65.282,-126.8329,5.07,96,100,2.33,overcast clouds
222,Bengkulu,ID,-3.8004,102.2655,73.24,96,100,4.38,light rain
223,Iquique,CL,-20.2208,-70.1431,75.24,74,23,4.68,few clouds
224,Kenai,US,60.5544,-151.2583,25.14,60,100,23.02,overcast clouds
225,Suntar,RU,62.1444,117.6319,-25.76,88,100,10.71,overcast clouds
226,Kruisfontein,ZA,-34.0033,24.7314,68.88,95,64,3.24,broken clouds
227,Alizai,PK,33.5383,70.3462,39.36,52,0,4.23,clear sky
228,Ilulissat,GL,69.2167,-51.1,12.22,92,100,4.61,light snow
229,Mahebourg,MU,-20.4081,57.7,78.26,81,100,8.21,overcast clouds
230,Vangaindrano,MG,-23.35,47.6,74.91,89,100,11.18,light rain
231,Morehead,US,37.2711,-87.1764,41.99,94,100,5.75,overcast clouds
232,Hargeysa,SO,9.56,44.065,56.64,93,20,11.45,few clouds
233,Port Elizabeth,ZA,-33.918,25.5701,71.31,96,100,1.01,overcast clouds
