City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
609,Tutoia,BR,79.9,broken clouds,-2.7619,-42.2744,Pousada San Vicente
612,Cocobeach,GA,80.55,overcast clouds,1.0002,9.5823,Motel Iboga
627,Torres,BR,79.83,overcast clouds,-29.3353,-49.7269,Residencial Medusa
641,Waingapu,ID,76.37,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
644,Yulara,AU,79.63,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
657,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
660,Gizo,SB,83.17,light rain,-8.103,156.8419,Gizo Hotel
661,Imbituba,BR,76.28,broken clouds,-28.24,-48.6703,Silvestre Praia Hotel
668,Puerto Ayacucho,VE,84.13,overcast clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
672,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
673,Hervey Bay,AU,77.16,few clouds,-25.2986,152.8535,Hervey Bay Hotel
674,Gainesville,US,78.94,broken clouds,29.6516,-82.3248,Hampton Inn & Suites Gainesville-Downtown
677,Male,MV,82.35,broken clouds,4.1748,73.5089,Champa Central Hotel
695,Gladstone,AU,79.79,scattered clouds,-23.85,151.25,Gladstone Downtown Central
699,Rio Grande,BR,89.71,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
