City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Gurupi,BR,2022-10-30 01:02:43,-11.7292,-49.0686,72.07,95,91,3.71
59,Bluff,NZ,2022-10-30 01:03:23,-46.6,168.3333,67.8,66,69,12.55
60,Kruisfontein,ZA,2022-10-30 01:03:24,-34.0033,24.7314,58.89,89,99,18.66
61,Sakakah,SA,2022-10-30 01:03:05,29.9697,40.2064,68.86,37,85,12.5
62,Kavieng,PG,2022-10-30 01:03:25,-2.5744,150.7967,84.79,68,100,6.8
63,Esperance,AU,2022-10-30 01:03:25,-33.8667,121.9,51.64,82,100,20.65
64,Saint George,US,2022-10-30 01:01:01,37.1041,-113.5841,65.43,22,0,3.44
65,Son La,VN,2022-10-30 01:03:26,21.3167,103.9,67.64,83,33,1.74
66,Victoria,HK,2022-10-30 01:03:27,22.2855,114.1577,76.24,65,100,20.0
67,Humaita,BR,2022-10-30 01:03:27,-7.5061,-63.0208,74.93,90,100,1.57
68,Yulara,AU,2022-10-30 01:03:28,-25.2406,130.9889,85.93,39,0,25.55
69,General Roca,AR,2022-10-30 01:03:28,-39.0333,-67.5833,48.61,27,39,31.99
70,Mbandaka,CD,2022-10-30 01:03:29,0.0487,18.2603,70.54,97,100,0.83
71,Praia Da Vitoria,PT,2022-10-30 01:03:29,38.7333,-27.0667,65.75,87,100,20.42
72,Vaini,TO,2022-10-30 01:03:30,-21.2,-175.2,76.21,84,12,15.41
73,Nador,MA,2022-10-30 01:03:30,35.174,-2.9287,68.25,88,75,1.14
74,Tiksi,RU,2022-10-30 01:03:31,71.6872,128.8694,0.03,95,100,7.27
75,Sangin,AF,2022-10-30 01:03:31,32.0728,64.8359,64.92,18,11,3.89
76,Bakel,SN,2022-10-30 01:03:32,14.905,-12.4568,82.69,14,69,8.43
77,Torbay,CA,2022-10-30 01:03:32,47.6666,-52.7314,48.27,84,7,5.01
78,Vanavara,RU,2022-10-30 01:03:32,60.34,102.2797,22.1,92,96,7.07
79,Norfolk,US,2022-10-30 00:59:10,42.1668,-71.2495,47.97,83,0,1.5
80,Bani,DO,2022-10-30 01:03:33,18.2833,-70.3333,75.85,77,100,9.84
81,Tucuman,AR,2022-10-30 01:01:38,-26.8241,-65.2226,83.8,27,0,5.39
82,Yellowknife,CA,2022-10-30 01:03:34,62.456,-114.3525,17.35,94,48,8.14
83,Upernavik,GL,2022-10-30 01:03:34,72.7868,-56.1549,12.87,68,0,14.47
84,Cape Town,ZA,2022-10-30 01:01:12,-33.9258,18.4232,62.11,77,1,5.99
85,Chipinge,ZW,2022-10-30 01:03:35,-20.1883,32.6236,60.3,91,28,3.65
86,Doba,TD,2022-10-30 01:03:36,8.65,16.85,73.26,61,100,2.77
87,Hasaki,JP,2022-10-30 01:03:39,35.7333,140.8333,61.29,53,59,15.97
88,Dawlatabad,AF,2022-10-30 01:03:40,36.4141,64.9053,57.16,63,100,8.72
89,Atuona,PF,2022-10-30 01:03:40,-9.8,-139.0333,77.49,76,3,18.23
90,Vardo,NO,2022-10-30 01:03:41,70.3705,31.1107,35.58,80,75,33.38
91,Morgan City,US,2022-10-30 01:03:41,29.6994,-91.2068,64.99,82,75,5.75
92,Auki,SB,2022-10-30 01:03:42,-8.7676,160.7034,83.1,77,24,3.18
93,Barrow,US,2022-10-30 01:04:20,71.2906,-156.7887,23.02,86,100,27.63
94,Talnakh,RU,2022-10-30 01:04:43,69.4865,88.3972,8.49,97,100,5.44
95,Tezu,IN,2022-10-30 01:04:43,27.9167,96.1667,66.67,55,0,3.76
96,Linfen,CN,2022-10-30 01:04:44,36.0889,111.5189,56.44,73,100,5.39
97,Ribeira Grande,PT,2022-10-30 01:04:45,38.5167,-28.7,64.78,91,100,20.0
98,Imbituba,BR,2022-10-30 01:02:30,-28.24,-48.6703,70.92,77,100,7.36
99,Opuwo,NA,2022-10-30 01:04:47,-18.0607,13.84,72.12,38,100,2.53
100,Ust-Nera,RU,2022-10-30 01:04:47,64.5667,143.2,2.21,99,96,2.53
101,Bereda,ES,2022-10-30 01:04:48,43.2686,-7.5406,55.42,100,100,4.07
102,Bengkulu,ID,2022-10-30 01:04:48,-3.8004,102.2655,76.44,90,100,4.27
103,Ixtapa,MX,2022-10-30 01:04:49,20.7,-105.2,79.83,69,100,5.75
104,Juneau,US,2022-10-30 01:00:36,58.3019,-134.4197,37.4,100,100,0.0
105,Phonhong,LA,2022-10-30 01:04:50,18.5007,102.4166,74.28,78,100,1.99
106,Asau,RO,2022-10-30 01:04:50,46.4333,26.4,41.92,82,99,6.8
107,Vari,GR,2022-10-30 01:04:51,37.8312,23.8081,64.63,60,20,9.22
108,Port Elizabeth,ZA,2022-10-30 01:02:09,-33.918,25.5701,63.32,86,75,25.01
109,Krasnoselkup,RU,2022-10-30 01:04:52,65.7,82.4667,11.48,93,28,8.99
110,Bambous Virieux,MU,2022-10-30 01:04:53,-20.3428,57.7575,70.21,79,18,9.91
111,Omboue,GA,2022-10-30 01:04:53,-1.5746,9.2618,76.12,93,43,3.78
112,Cosenza,IT,2022-10-30 01:04:53,39.31,16.2502,59.5,64,0,4.05
113,Pogradec,AL,2022-10-30 01:04:54,40.9025,20.6525,52.77,63,0,2.08
114,Sao Filipe,CV,2022-10-30 01:04:54,14.8961,-24.4956,80.2,67,100,2.98
115,Beira,MZ,2022-10-30 01:04:55,-19.8436,34.8389,75.83,80,1,7.07
116,Atar,MR,2022-10-30 01:02:26,20.5169,-13.0499,78.85,11,1,6.02
117,Teahupoo,PF,2022-10-30 01:04:56,-17.8333,-149.2667,76.96,78,36,8.43
118,Qaanaaq,GL,2022-10-30 01:04:56,77.484,-69.3632,-7.2,59,8,9.69
119,Broome,US,2022-10-30 01:04:57,42.2506,-75.833,46.8,65,5,1.7
120,New Norfolk,AU,2022-10-30 01:04:57,-42.7826,147.0587,60.71,44,13,5.17
121,Rovaniemi,FI,2022-10-30 01:01:39,66.5,25.7167,29.61,69,0,14.97
122,Dryden,CA,2022-10-30 01:04:58,49.7833,-92.7503,43.45,77,42,4.32
123,Emerald,AU,2022-10-30 01:01:51,-23.5333,148.1667,85.33,36,6,8.34
124,Asfi,MA,2022-10-30 01:04:58,32.2994,-9.2372,73.67,40,92,6.35
